,subjid,instructionloops,strategy,helpstrategy,howtoimprove,engagement,difficulty,externalhelp,gender,education,major,age,expNum,iid
0,0,1,"Given the number of permutations, it was easier to just try to rely on memory than try to recognize a pattern and risk forgetting previously remembered categorizations. I subvocalized the size, shape, and fill of the item along with its group repeatedly to commit it to memory. I thought I did acceptably with this strategy getting 6/8 right on the test.",,,5.0,10.0,nohelp,man,bachelors,business,37.0,0,0
1,1,2,"I simply tried to pay attention to the grouping in the learning round and tried to solidify a rule in my mind for the groupings. For example, ""white triangles and black squares are in group A""",,This was an fun and interesting task. I did not encounter any issues. Thanks for the opportunity. ,9.0,4.0,nohelp,woman,bachelors,other,41.0,0,1
2,2,3,I would have taken notes but you said not to so I spoke out loud to myself and tried to establish rules as I went along but I needed more trials,,,8.0,8.0,nohelp,woman,bachelors,engineering,59.0,0,2
3,3,1,All black colored objects are to be teamed up in Team B irrespective of their size.,,The task was intriguing it increases the brain-storming and mental-training capacity of a worker.,9.0,7.0,nohelp,woman,masters,business,45.0,0,3
4,4,2,"I just started kind of randomly guessing at first, and it seemed like a couple dark ones went with the one group while a couple white ones went with the other group, so I just kept separating them by color and that actually ended up being the rule.",,Nope.,7.0,2.0,nohelp,woman,bachelors,mathscience,27.0,0,4
5,5,2,I just tried to find the rule after the first half were shown on the learning trial.,,,10.0,5.0,nohelp,woman,somecollege,other,31.0,0,5
6,6,2,I had none.,,,6.0,10.0,nohelp,man,highschool,noresp,23.0,0,6
7,7,1,,,,7.0,7.0,nohelp,man,bachelors,business,29.0,0,7
8,8,1,no,good,no,8.0,7.0,yeshelp,woman,masters,noresp,35.0,0,8
9,9,1,no,,good,8.0,7.0,nohelp,man,bachelors,engineering,34.0,0,9
10,10,2,no,,good study,8.0,8.0,nohelp,man,masters,mathscience,28.0,0,10
11,11,3,I just remember all of the instructions mentioned in the previous pages,,nothing,10.0,0.0,nohelp,man,bachelors,mathscience,26.0,0,11
12,12,5,I just tried to figure out the pattern or grouping logic.,,No additional thoughts.,10.0,10.0,nohelp,man,masters,business,37.0,0,12
13,13,6,no,,nice,8.0,7.0,noresponse,woman,masters,mathscience,25.0,0,13
14,14,1,,,,2.0,9.0,nohelp,man,bachelors,socialscience,34.0,0,14
15,15,1,"I tried to see which shapes, sizes, and colors went in one group and what went in the other. I then tried to figure out a pattern that fits each group.",,"I have no additional thoughts about the task, it was fun.",10.0,5.0,nohelp,man,masters,mathscience,28.0,0,15
16,16,2,I memorised the shapes with size and colour for the group A only. Thus I can select the shapes for other group easily.,,Nothing,10.0,8.0,nohelp,woman,bachelors,business,38.0,0,16
17,17,2,,,,5.0,5.0,noresp,man,bachelors,socialscience,30.0,0,17
18,18,2,,,,6.0,3.0,nohelp,woman,bachelors,mathscience,24.0,0,18
19,19,2,IT IS VERY GOOD SURVEY. . .,YES,NO,8.0,6.0,noresponse,man,bachelors,engineering,40.0,0,19
20,20,3,no,no,good,8.0,6.0,nohelp,man,masters,mathscience,32.0,0,20
21,21,3,none,,none,7.0,3.0,nohelp,man,highschool,noresp,32.0,0,21
22,22,4,,,,9.0,8.0,nohelp,man,somegrad,mathscience,39.0,0,22
23,23,1,I tried to recall which objects belonged with group A.,,,8.0,9.0,nohelp,woman,somecollege,other,36.0,0,23
24,24,1,i used my memorization skills.,,no.,10.0,5.0,nohelp,woman,somecollege,business,25.0,0,24
25,25,3,I keep remembering big little dark light,,,7.0,3.0,nohelp,woman,bachelors,business,61.0,0,25
26,26,1,Try to remember the group,,no,10.0,5.0,nohelp,man,somecollege,humanities,67.0,0,26
27,27,1,Memorization is the only strategy to do thistask.,,Very interesting task.,9.0,6.0,nohelp,man,bachelors,humanities,33.0,0,27
28,28,1,I just tried my best to remember what shape and type of details each one was for.,,,10.0,9.0,nohelp,man,highschool,noresponse,34.0,0,28
29,29,4,none,,no,10.0,2.0,nohelp,woman,doctor,mathscience,40.0,0,29
30,30,1,the shapes and color of the objects,,no,8.0,4.0,nohelp,man,masters,other,32.0,0,30
31,31,1,Fully focused and good understanding the explanation of study.,,It is very exciting and interesting task.,0.0,0.0,nohelp,woman,bachelors,mathscience,48.0,0,31
32,32,2,"After I sort of figured out the sort. I made up a story to remind me. For example I made a story that Group A consisted of a Black father and White mother (triangle = dad, square= mom) and from there I already new the rule so I was able to figure out (to my best ability) which shape went into which group.",,None,10.0,6.0,nohelp,woman,bachelors,socialscience,36.0,0,32
33,33,2,NO,,,5.0,5.0,nohelp,man,bachelors,engineering,32.0,0,33
34,34,1,none really. visualized each group in my head.,,"better chance to win bonus, perhaps.",10.0,3.0,nohelp,man,somecollege,business,29.0,0,34
35,35,2,,,This was a fun game.,8.0,2.0,nohelp,woman,bachelors,business,45.0,0,35
36,36,1,memory power,no,good work,9.0,2.0,nohelp,man,masters,business,32.0,0,36
37,37,1,I just focused intently to try and learn the rule.,,"No, but thanks for the HIT!  I did my best and hope the data is useful!",10.0,9.0,nohelp,man,somecollege,business,46.0,0,37
38,38,1,I just tried to retain what little information I was able to gain from the learning phase.,,,10.0,10.0,nohelp,man,somecollege,engineering,39.0,0,38
39,39,1,"I focused pretty much on learning one side, and anything that didn't seem to conform to the rules of that side would be by default on the other side. ",,"yes, it was very mentally challenging and fun. I think the opportunity to win the bonus really increased motivation. ",10.0,9.0,nohelp,woman,bachelors,humanities,42.0,0,39
40,40,5,FULL ATTENTION,,GOOD,5.0,8.0,nohelp,man,bachelors,engineering,39.0,0,40
41,41,1,none,,no,8.0,8.0,nohelp,man,bachelors,humanities,29.0,0,41
42,42,9,I will use our instructions to play game.,,Very interesting task.,10.0,10.0,nohelp,man,masters,noresp,39.0,0,42
43,43,2,"its just of memorizing it, the main concept of this task.",,interesting game ,10.0,4.0,nohelp,man,bachelors,noresp,41.0,0,43
44,44,4,no,,,6.0,2.0,nohelp,man,masters,mathscience,32.0,0,44
45,45,1,much use full one,,very nice survey,7.0,1.0,nohelp,woman,bachelors,engineering,46.0,0,45
46,46,5,"I will analysis the group of object and how to separate the group in shape,color and size.",,"Good. Today is new day. Because, I will learn something new. It gives amazing experience. Thank You...!!!",10.0,6.0,nohelp,man,masters,humanities,48.0,0,46
47,47,1,"I basically just tried to memorize the ""rule"" in my head to determine which group each shape belonged to. I would repeat the shape and the group in my head to try to remember it.",,It was a fun and interesting task. I enjoyed participating. Thanks!,8.0,3.0,nohelp,man,bachelors,business,34.0,0,47
48,48,1,I just tried playing around a bit with the combinations until I knew I was right.,,,10.0,0.0,nohelp,man,bachelors,mathscience,26.0,0,48
49,49,1,I will enjoy them,,its interesting task,4.0,7.0,nohelp,man,masters,mathscience,31.0,0,49
50,50,2,It was mainly to figure out the corresponding rule. ,,The bonus is pointless. ,5.0,1.0,nohelp,man,doctor,business,36.0,0,50
51,51,2,,,,3.0,7.0,nohelp,woman,bachelors,engineering,28.0,0,51
52,52,2,none,,NONE,10.0,2.0,nohelp,man,somegrad,mathscience,30.0,0,52
53,53,1,I didn't have a strategy.  I just paid attention.,,,7.0,1.0,nohelp,man,bachelors,socialscience,35.0,0,53
54,54,1,None,None,Nothing,5.0,7.0,nohelp,man,masters,business,32.0,0,54
55,55,1,I simply tried to memorize them and look for a pattern which I didn't find.  I probably shouldn't have attempted this task after a workout because I have to admit I couldn't concentrate as well as normal.,,,7.0,8.0,nohelp,man,bachelors,mathscience,45.0,0,55
56,56,1,,,,10.0,5.0,nohelp,man,somehs,noresp,34.0,0,56
57,57,4,Trying to remember in my head at least 4 of them,,,10.0,9.0,nohelp,man,highschool,noresp,28.0,0,57
58,58,3,Found the rule,,No Comments,10.0,2.0,nohelp,man,bachelors,business,30.0,0,58
59,59,5,by choosing the shapes,,good one,10.0,7.0,nohelp,man,masters,business,30.0,0,59
60,60,5,like,no,nothing,8.0,8.0,yeshelp,man,bachelors,socialscience,30.0,0,60
61,61,1,I just followed the instructions properly,,No,5.0,2.0,nohelp,woman,bachelors,engineering,52.0,0,61
62,62,3,the playing was very different so reading,,very like,5.0,5.0,nohelp,man,bachelors,noresp,32.0,0,62
63,63,2,I have memorized the shapes only.,,No,7.0,2.0,nohelp,woman,bachelors,business,24.0,0,63
64,64,1,No strategy. I thought the learning round would be longer and I would have more time to see the patterns but it went by faster than I expected.,,I would have liked to have seen it again after I finished just so I could process it visually.,8.0,8.0,nohelp,woman,bachelors,humanities,56.0,0,64
65,65,2,,,,10.0,5.0,nohelp,woman,highschool,noresp,38.0,0,65
66,66,2,"I started with the learning task and after I got my first question correct, I went with small = A and large = B, it ended up being the correct grouping for all of the cards.",,,7.0,1.0,nohelp,woman,somecollege,engineering,30.0,0,66
67,67,1,,,,8.0,1.0,nohelp,woman,somecollege,other,34.0,0,67
68,68,1,I just tried to memorize what I learned in part 1.,,,9.0,6.0,nohelp,man,bachelors,business,35.0,0,68
69,69,4,no special strategy.,,Very interesting study !,10.0,7.0,nohelp,man,bachelors,mathscience,67.0,0,69
70,70,1,,,,,,,,,,,0,70
71,71,1,very fast learn,,good study,9.0,10.0,nohelp,man,bachelors,mathscience,25.0,0,71
72,72,1,Just remembering the shapes that worked from the learning phase,,None,9.0,5.0,nohelp,man,highschool,noresp,28.0,0,72
73,73,12,,,,5.0,0.0,noresp,man,masters,mathscience,35.0,0,73
74,74,2,try to remember,,,5.0,5.0,nohelp,man,masters,business,30.0,0,74
75,75,2,no strategy,,was fun!,10.0,0.0,nohelp,man,bachelors,other,26.0,0,75
76,76,1,No particular strategy,,no,8.0,2.0,nohelp,woman,bachelors,mathscience,35.0,0,76
77,77,1,I focus a shape and remember it,,Interesting game,9.0,8.0,nohelp,man,bachelors,business,31.0,0,77
78,78,3,"No, once you figured out the pattern, you just followed it.",,The instructions were way too long for what was required by the task.,2.0,3.0,nohelp,man,bachelors,business,55.0,0,78
79,79,6,It's very hard to find the quiz test and i'm deep learning i correct answer and i'm pass the part quiz test it's very nice to learn your instruction,,It's very interesting,10.0,5.0,nohelp,woman,masters,business,26.0,0,79
80,80,2,say the card and group again and again,,"irritation:  bags, marbles, clocks. ",9.0,8.0,nohelp,man,masters,engineering,48.0,0,80
81,81,3,no strategy ,,no,8.0,8.0,nohelp,woman,somecollege,socialscience,35.0,0,81
82,82,1,I just used brute force in remembering the cards,,No other thoughts,6.0,9.0,nohelp,man,bachelors,other,37.0,0,82
83,83,3,Not enough trails to learn fully what the rule was so mostly I just guessed. ,,,7.0,10.0,nohelp,man,bachelors,humanities,37.0,0,83
84,84,1,I had none.,,No,2.0,3.0,nohelp,man,noresponse,noresp,-1.0,0,84
85,85,1,"After finding out what group a shape belonged in, I would repeat several times to myself the characteristics of the shape and the group. For example, I would think, ""Big empty box A"" or ""Little empty box A."" I didn't feel at all confident when the test came up and am surprise I did so well. ",,I don't have any suggestions.,9.0,7.0,nohelp,man,somehs,noresp,34.0,0,85
86,86,1,My strategy was to try to remember what kind of answers were right. But I guess I failed a little.,,"I really enjoyed this game, even if I couldn’t win the 10 bonus",10.0,4.0,nohelp,woman,bachelors,mathscience,26.0,0,86
87,87,1,I tried to figure out the rule but was not able to get it down before the learning phase was over.,,,4.0,7.0,nohelp,man,somecollege,mathscience,45.0,0,87
88,88,2,i tried to look for patterns and use my memory,,none,9.0,6.0,nohelp,woman,bachelors,mathscience,26.0,0,88
89,89,1,No particular strategy,,No,5.0,2.0,nohelp,man,bachelors,other,38.0,0,89
90,90,1,I just tried my best to remember which group each object was in.,,none,6.0,8.0,nohelp,man,bachelors,business,24.0,0,90
91,91,1,"I did not use any strategies. I tried to rely on my memory, but I think that another 8 or 16 practice tries would have helped me solidify the learning.",,no,8.0,7.0,nohelp,man,doctor,mathscience,54.0,0,91
92,92,1,just tried to remember,,no,10.0,3.0,nohelp,man,highschool,noresp,42.0,0,92
93,93,3,understanding.,,memory based test.,9.0,5.0,nohelp,woman,bachelors,humanities,31.0,0,93
94,94,5,no,,no,8.0,8.0,nohelp,woman,highschool,noresponse,31.0,0,94
95,95,1,I figured out the general pattern and then focused on the one exception.,,"I'd recommend changing the bonus system, disappointing to focus so hard then to be let down.",5.0,7.0,nohelp,man,masters,business,36.0,0,95
96,96,1,,,"No, everything went smoothly.",8.0,0.0,nohelp,man,highschool,noresp,39.0,0,96
97,97,1,"according to the size, shape and color",,no,9.0,3.0,nohelp,man,masters,other,32.0,0,97
98,98,1,"All the small black shape were separated in mind and I grouped them, I did same thing for big black shape. It helped in remembering others.",,Very good task,10.0,7.0,nohelp,man,bachelors,mathscience,21.0,0,98
99,99,1,"I took my time and intently focused during training, repeating what I learned about each group in my head and trying to commit it to memory.",,,10.0,10.0,nohelp,man,somecollege,humanities,35.0,0,99
100,100,1,No strategy ,,,10.0,1.0,nohelp,woman,highschool,noresponse,27.0,0,100
101,101,1,none since it was said not to write anything down,,"a bit sketch on the ""$10 bonus""",0.0,0.0,nohelp,man,bachelors,mathscience,42.0,0,101
102,102,2,I really was just trying to categorize and use memory.,,Not really,10.0,10.0,nohelp,man,bachelors,business,32.0,0,102
103,103,1,I didn't use any strategies. I just remembered them by colors.,,Interesting.,5.0,5.0,nohelp,woman,bachelors,engineering,45.0,0,103
104,104,2,,,,9.0,1.0,nohelp,man,masters,mathscience,32.0,0,104
105,105,1,i just tried to remember the rules for objects in group A and neglected to remember what was in B.,,no,10.0,5.0,nohelp,man,bachelors,mathscience,37.0,0,105
106,106,1,I just relied on my memory and that wasn't good enough for the short duration of the learning phase.,,I wish the learning phase were longer.,8.0,8.0,nohelp,woman,bachelors,business,36.0,0,106
107,107,3,nice game to look mind game,none,nice task,9.0,4.0,nohelp,woman,somegrad,socialscience,24.0,0,107
108,108,1,Colors and shapes,,,9.0,5.0,nohelp,man,highschool,noresp,30.0,0,108
109,109,1,"I just remembered what they were, it was easy.",,"It was fun, thank you.",10.0,0.0,nohelp,woman,somecollege,other,40.0,0,109
110,110,1,,,No,10.0,3.0,nohelp,man,bachelors,business,49.0,0,110
111,111,1,I had none,,no,5.0,0.0,nohelp,man,bachelors,humanities,38.0,0,111
112,112,8,Angrybird,Yes,Nothing,9.0,8.0,yeshelp,man,bachelors,business,43.0,0,112
113,113,1,I try to remember the rules as possible as I can.,,The task is very interesting and fun task.,7.0,8.0,nohelp,man,bachelors,humanities,36.0,0,113
114,114,2,I just tried to memorize them.,,It was fun.,9.0,6.0,nohelp,man,bachelors,socialscience,43.0,0,114
115,115,1,no,no,good,8.0,3.0,nohelp,man,masters,business,29.0,0,115
116,116,2,i didn't i just did my best,,none,7.0,7.0,nohelp,woman,somecollege,noresp,39.0,0,116
117,117,3,try to remember,,,9.0,6.0,nohelp,man,somecollege,other,43.0,0,117
118,118,1,no,,no,8.0,1.0,nohelp,man,bachelors,engineering,34.0,0,118
119,119,2,,,,10.0,5.0,nohelp,man,bachelors,mathscience,26.0,0,119
120,120,9,I AM FULLY CONCENTRATE WITHOUT DISTRACT.,,GOOD,8.0,8.0,nohelp,woman,bachelors,mathscience,44.0,0,120
121,121,5,,,Nothing,5.0,2.0,nohelp,woman,somecollege,mathscience,53.0,0,121
122,122,1,Tried to remember only what went in group A.,,No,9.0,8.0,nohelp,man,somecollege,business,67.0,0,122
123,123,1,I learned which object belonged to which group by seeing if my guess was correct or not.,,Make the task longer. This is a fun task to do.,10.0,4.0,nohelp,woman,bachelors,business,65.0,0,123
124,124,1,followed the instructions,,nice,10.0,5.0,nohelp,woman,bachelors,business,50.0,0,124
125,125,1,Focus a shape and remember it,,Interesting game,5.0,5.0,nohelp,man,bachelors,business,31.0,0,125
126,126,3,no,,good,4.0,5.0,nohelp,man,masters,mathscience,30.0,0,126
127,127,10,just trying to memorize,,thank you,10.0,5.0,nohelp,woman,bachelors,business,54.0,0,127
128,128,5,"Starting out I just picked a group, and then went from there. I then tried to remember what I saw for the last time, and then remember for the next time I saw that exact card, and then try to think of how they related to one another in their group.",,"I remembered it was the small white triangle that should go to group B and the Large Square that was gray that went to group A. The other criteria was that group A, white, group B, gray. I stupidly forgot that when clicking on the one button, so messed me up. I should have been able to get 8/8 if I remembered correctly when answering.",10.0,6.0,nohelp,man,bachelors,other,33.0,0,128
129,129,5,none,,none,6.0,3.0,nohelp,man,somecollege,engineering,55.0,0,129
130,130,4,Carding Images Improve the lessoning activities...,,"Yeah , I Like in this survey...",10.0,3.0,nohelp,man,masters,business,36.0,0,130
131,131,3,,,no,5.0,6.0,nohelp,man,somecollege,humanities,31.0,0,131
132,132,2,no strategies. I just tried to remember.,,no,4.0,5.0,nohelp,man,masters,humanities,39.0,0,132
133,133,2,,,,2.0,6.0,nohelp,man,bachelors,mathscience,27.0,0,133
134,134,2,I am only following instructions.,,This task was very amazing and expect more tasks with more difficulty.,6.0,3.0,nohelp,man,bachelors,noresponse,39.0,0,134
135,135,1,"Nothing special besides shape, size and color",,,10.0,10.0,nohelp,man,highschool,noresp,31.0,0,135
136,136,1,"I tried to memorize which shape, color, size, went into which group based on correct/incorrect.  Once I thought I had a pattern I would attempt by guess, and then adjust the pattern until I could verify it was working.",,This was go fun mind puzzle.  I really do like these types of things.,10.0,5.0,nohelp,man,bachelors,mathscience,43.0,0,136
137,137,3,I didn't,,,10.0,10.0,nohelp,man,somecollege,humanities,37.0,0,137
138,138,1,I focus mainly on Group A only.,,No,8.0,2.0,nohelp,man,bachelors,engineering,27.0,0,138
139,139,5,noting  to strategies only mind game,,It is very interesting and very talent game and thanks for all,10.0,8.0,nohelp,man,doctor,business,36.0,0,139
140,140,2,normal only,,no,5.0,2.0,nohelp,man,bachelors,humanities,32.0,0,140
141,141,1,"I had a rule when going through the cards the first time, but I forgot it during the test. Something about the opposite card going in a separate group.",,,6.0,5.0,nohelp,woman,bachelors,socialscience,37.0,0,141
142,142,2,tried to deduce the rules for group-making in the first round,,no,8.0,8.0,nohelp,man,somecollege,humanities,48.0,0,142
143,143,2,Just relied on memory which did not work out well for me.,,"Interesting, but I wish the window would have filled my screen automatically.  I had to resize the window manually.",10.0,10.0,nohelp,man,bachelors,humanities,70.0,0,143
144,144,4,small objects in particular group,,good,10.0,7.0,nohelp,woman,somegrad,business,60.0,0,144
145,145,1,"I tried to focus on the large shapes, knowing that I would best remember those shapes and figure out what groups they were in. This would at least assure getting 4 of 8 correctly, and focused less on the smaller shapes to figure out group. Chances were good to randomly at least get 2 of those correct.",,No further comments,7.0,6.0,nohelp,man,masters,socialscience,41.0,0,145
146,146,1,I tried to figure out the rule for how to classify the shapes.,,,3.0,4.0,nohelp,man,somecollege,other,35.0,0,146
147,147,1,in my memory to recall the group,,no,5.0,8.0,noresp,woman,somecollege,socialscience,54.0,0,147
148,148,6,I tired to visualize one deck. The cards that weren't in that visualized deck I remembered to but in the opposite deck.,,,10.0,4.0,nohelp,man,highschool,noresp,41.0,0,148
149,149,1,just tried to see a pattern,,"if i stopped to think about it too hard, i started to doubt myself and get confused",10.0,4.0,nohelp,woman,doctor,mathscience,64.0,0,149
150,150,4,no,,no,8.0,9.0,nohelp,man,masters,business,32.0,0,150
151,151,3,None,,None,5.0,5.0,nohelp,man,masters,noresp,53.0,0,151
152,152,1,Simple memorising,,Bonus based on timer is atrocius.,5.0,0.0,nohelp,man,masters,business,45.0,0,152
153,153,1,just tried to remember which shapes belonged to which group,,instructions seemed never ending. pay was good though,5.0,2.0,nohelp,man,highschool,noresp,37.0,0,153
154,154,1,nothing special outside of paying attention,,,10.0,7.0,noresp,woman,bachelors,socialscience,30.0,0,154
155,155,1,INTERESTING,,,9.0,5.0,nohelp,man,masters,engineering,62.0,0,155
156,156,2,I memorize the he classification rule of the angles and sizes.,,,9.0,6.0,nohelp,man,bachelors,socialscience,29.0,0,156
157,157,1,None,,This is a good survey.,8.0,2.0,nohelp,man,bachelors,business,40.0,0,157
158,158,1,I couldn't detect a pattern given the number of chances I  had to learn the objective. ,,The learning process should have been longer. ,7.0,5.0,nohelp,man,somecollege,mathscience,62.0,0,158
159,159,1,"I focused on group B. When I discovered a card was in the group, I said it aloud several times to fix it in my mind.",,,10.0,4.0,nohelp,man,somecollege,engineering,45.0,0,159
160,160,3,I tried to remember from the procedure,,the task was very challenging,10.0,9.0,nohelp,man,bachelors,business,26.0,0,160
161,161,2,none just tried to memorize,,no,8.0,9.0,nohelp,man,bachelors,business,52.0,0,161
162,162,2,I simply tried to determine which shapes were in each group and it was pretty easy to figure out the pattern,,Thanks!,8.0,1.0,nohelp,man,highschool,other,29.0,0,162
163,163,2,Nothing like that,,nothing,10.0,0.0,nohelp,woman,masters,mathscience,57.0,0,163
164,164,3,,,,8.0,9.0,nohelp,man,bachelors,engineering,28.0,0,164
165,165,7,I just tried to remember a few shade versus size grouping and applied to the rest of the shapes,,nope,6.0,7.0,nohelp,man,bachelors,humanities,26.0,0,165
166,166,1,"As each shape went by, I just tried to recite in my mind what belonged in Group A. I picked up pretty quickly that the large and small shapes of the same fill type were on opposite sides.",,I thought it was very interesting! I think the success really depends on how quickly you can form a pattern of which group each shape will be in at the beginning. I was able to figure it out fairly quickly so most subsequent trials confirmed my thoughts.,10.0,2.0,nohelp,man,bachelors,business,28.0,0,166
